SAMPLE ID,Sampling Date,Round,SAMPLE TYPE,TCM,BDCM,DBCM,TBM,DCIM,BCIM,DBIM,CDIM,BDIM,TIM,CP,"1,1-DCP","1,1,1-TCP",CAN,TCAN,DCAN,BAN,BCAN,IAN,DBAN,TCNM,DCAM,BCAM,TCAM,DBAM,MCAA,MBAA,DCAA,BCAA,TCAA,DBAA,BDCAA,CDBAA,TBAA,IAA,CIAA
2-8MAY24,5/29/2024,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-1MAY24,5/29/2024,2,DWDS,16.3037,5.1945,1.0437,14.6642,1.0325,0.0732,ND,ND,0.0336,0.0195,1.2893,0.5999,0.0101,0.0444,0.0084,0.1185,0.4627,0.0344,0.0048,0.0451,0.055,5.0195,0.334,0.0508,0.1107,10.0807,0.2446,28.7672,ND,3.3214,2.1051,0.5345,0.108,0.1336,0.1757,ND
3-2MAY24,5/29/2024,2,DWDS,15.4562,4.8196,0.969,15.1466,0.9869,ND,ND,ND,0.0297,ND,1.1651,0.397,0.0076,0.0461,0.0063,0.0836,0.5177,0.022,ND,0.0345,0.0467,6.4673,0.3067,0.0406,0.1198,6.8585,0.2541,29.6077,ND,3.4757,2.0949,0.8681,0.1178,0.1582,0.14,ND
3-3MAY24,5/29/2024,2,DWDS,17.609,5.7118,1.1304,18.6768,1.2383,0.126,ND,ND,0.0357,0.0196,1.459,1.07,0.0253,0.0455,0.0073,0.2695,0.5786,0.062,ND,0.0605,0.0927,4.1236,0.3926,0.0711,0.1251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-4MAY24,5/29/2024,2,DWDS,14.5053,4.284,0.8543,13.9964,0.9788,ND,ND,ND,0.026,ND,0.9567,0.278,0.007,0.0427,0.0053,0.062,0.3059,0.0145,ND,0.025,0.0391,5.3264,0.228,0.0343,0.1003,10.1781,0.2283,35.852,ND,3.5504,2.2874,0.7064,0.0869,0.1779,0.143,ND
3-5MAY24,5/29/2024,2,POE,13.8189,4.6262,0.9224,6.2144,0.6689,0.2302,ND,ND,0.0176,0.0221,1.0748,1.1683,0.349,0.0487,0.0076,0.5329,0.4477,0.0948,ND,0.0751,0.1387,1.1343,0.2271,0.0667,0.0754,10.8687,0.661,32.7648,ND,4.6521,3.0791,0.6827,0.1844,0.4202,0.6845,0.5067
3-6MAY24,5/29/2024,2,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-8MAY24,5/29/2024,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-1MAY24,5/1/2024,2,DWDS,3.1673,1.4782,0.9587,4.3715,7.3,0.4351,0.0936,ND,0.0779,0.0516,2.0686,0.7172,0.0379,0.0311,0.0072,0.3015,0.1109,0.1663,0.0258,0.6699,0.1272,0.399,0.3169,ND,ND,8.1202,0.3447,14.6541,0.2384,NQ,1.683,0.0803,0.0795,0.1395,1.087,ND
4-2MAY24,5/1/2024,2,DWDS,3.0834,1.3453,0.8903,2.6927,3.8608,0.2552,ND,ND,0.0498,ND,0.4757,0.3874,0.022,0.0228,0.0071,0.1215,0.1503,0.7477,ND,0.303,0.0567,0.2541,ND,ND,ND,9.3656,0.3284,12.9462,0.2136,NQ,1.5383,0.193,0.0836,0.1391,0.3658,ND
4-3MAY24,5/1/2024,2,DWDS,2.5895,1.0401,0.7156,ND,2.775,0.3416,ND,ND,0.0594,ND,0.984,0.7438,0.0075,0.0221,0.0079,0.1697,0.0296,0.0653,0.0193,0.3511,0.1064,0.5832,0.0947,ND,ND,8.4845,0.3309,13.7826,0.267,NQ,1.8065,0.0711,0.052,ND,0.2935,ND
4-4MAY24,5/1/2024,2,DWDS,2.5786,1.0195,0.6683,ND,4.0634,0.7665,0.122,ND,0.0473,ND,1.0213,0.2949,0.0098,0.0165,0.0061,0.0953,0.0888,0.0457,0.0156,0.2307,0.0655,0.4234,ND,ND,ND,6.4183,0.3246,13.1738,0.2304,NQ,1.8953,0.0783,ND,ND,0.3165,ND
4-5MAY24,5/1/2024,2,POE,3.2814,1.4541,0.9265,1.3441,8.8385,0.8098,0.1099,ND,0.0324,0.0081,0.5238,0.4365,0.0591,0.0199,0.0062,0.1538,0.1169,0.0919,0.0179,0.3097,0.0583,0.2847,ND,ND,ND,6.5575,0.246,15.3072,0.2097,NQ,1.7141,0.0881,ND,ND,ND,ND
4-6MAY24,5/1/2024,2,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-8MAY24,5/1/2024,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-1APR24,4/15/2024,2,DWDS,29.8838,23.9285,14.1933,1.331,0.7625,0.4383,0.1047,0.0383,0.06,0.0685,0.1523,0.0815,0.0434,0.0435,0.0297,0.2717,0.057,0.4388,0.014,2.8949,0.0335,0.2139,3.9978,0.1741,1.3776,3.202,0.7579,21.9985,3.0451,11.012,11.9529,2.943,0.9523,0.6664,0.1249,ND
5-2APR24,4/15/2024,2,DWDS,22.7932,19.1117,11.5697,1.7059,1,0.6141,0.1064,0.0278,0.0877,0.054,0.1627,0.0839,0.0802,0.0462,0.0186,0.4377,0.0518,0.6788,ND,3.512,0.0214,0.1999,3.4353,0.1597,1.2577,2.3772,0.7251,20.2953,2.5492,10.7573,10.7252,3.1025,0.4199,0.6847,0.316,ND
5-3APR24,4/15/2024,2,DWDS,44.9679,28.074,15.0206,2.6515,0.6762,0.3021,0.0942,ND,0.0874,0.0686,0.1416,0.0841,0.0371,0.0495,0.012,0.2146,0.0534,0.1974,ND,1.4482,0.0306,0.2682,4.6282,0.245,1.5904,3.075,0.8318,30.9537,3.8562,14.9411,14.2376,4.0036,1.8189,0.9135,0.6636,ND
